1,0,22417,39335,33785,22417,39335,33785,22295,39509,33714,37935,49314,12158,49939,25247,3904,52285,35266,1669,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,50,22542,39162,33854,22542,39162,33854,22417,39335,33785,37915,49344,12146,49794,25661,3697,51978,35724,1518,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100,22669,38988,33921,22669,38988,33921,22542,39162,33854,37895,49374,12134,49645,26076,3495,51665,36181,1374,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,150,22799,38815,33985,22799,38815,33985,22669,38988,33921,37874,49405,12123,49491,26491,3298,51347,36636,1237,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,200,22932,38643,34046,22932,38643,34046,22799,38815,33985,37853,49435,12112,49333,26906,3106,51023,37089,1107,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,250,23067,38470,34105,23067,38470,34105,22932,38643,34046,37832,49465,12101,49171,27321,2920,50694,37541,985,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,300,23205,38299,34162,23205,38299,34162,23067,38470,34105,37810,49494,12091,49005,27736,2739,50360,37991,869,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,350,23345,38127,34216,23345,38127,34216,23205,38299,34162,37788,49524,12081,48834,28150,2564,50021,38438,760,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,400,23488,37957,34268,23488,37957,34268,23345,38127,34216,37765,49554,12072,48660,28564,2394,49676,38884,659,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,450,23633,37787,34317,23634,37787,34317,23488,37957,34268,37742,49584,12063,48481,28978,2230,49327,39327,565,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,500,23781,37617,34363,23781,37617,34363,23634,37787,34317,37719,49613,12055,48299,29391,2071,48973,39768,478,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,550,23931,37449,34407,23931,37449,34407,23781,37617,34363,37695,49642,12047,48112,29803,1918,48615,40207,398,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,600,24084,37281,34449,24084,37281,34449,23931,37449,34407,37671,49672,12040,47922,30214,1770,48251,40643,325,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
